Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money,Overall Rating,sentiment_score,sentiment_label,Sentiment Score,Sentiment,Review Length,Route Popularity,Airline Popularity,clean_review,Aircraft_Label
"""almost a low fare airline""",Boeing 787 / A320,Couple Leisure,Economy Class,Washington to Prague via London,2018-05-01,1.0,3.0,3.0,4.0,2.0,3,2.6666666666666665,-0.2075,Negative,-0.2075,0,5,1,6,almost a low fare airline,174
"""shameful for BA management""",Boeing 747,Solo Leisure,First Class,London to Washington,2018-05-01,3.0,2.0,2.0,1.0,4.0,1,2.1666666666666665,-0.4939,Negative,-0.4939,0,4,6,135,shameful for ba management,117
"""close call to make connections""",Boeing 747,Solo Leisure,Economy Class,Washington to Glasgow via London,2018-05-01,4.0,4.0,3.0,3.0,3.0,5,3.6666666666666665,0.0,Neutral,0.0,1,5,1,135,close call to make connections,117
"""I had to buy a new return ticket""",A321,Solo Leisure,Economy Class,London to Montreal,2018-03-01,3.0,2.0,1.0,2.0,1.0,1,1.6666666666666667,0.0,Neutral,0.0,1,8,3,126,i had to buy a new return ticket,59
"""legroom was insufficient""",Boeing 777-300ER / A320,Solo Leisure,Economy Class,Tokyo to Amsterdam via London,2018-05-01,2.0,2.0,1.0,1.0,4.0,3,2.1666666666666665,0.0,Neutral,0.0,1,3,1,1,legroom was insufficient,170
"""service was quite prompt""",A320,Business,Business Class,Vienna to London Heathrow,2018-05-01,3.0,4.0,2.0,2.0,3.0,3,2.8333333333333335,0.0,Neutral,0.0,1,4,1,662,service was quite prompt,26
"""pathetic cost cutting antics""",A320,Solo Leisure,Economy Class,London Heathrow to Vienna,2018-05-01,1.0,1.0,1.0,2.0,1.0,1,1.1666666666666667,-0.6369,Negative,-0.6369,0,4,2,662,pathetic cost cutting antics,26
"""had to pay for another flight""",A320,Couple Leisure,Economy Class,Glasgow to Heathrow,2018-05-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.1027,Negative,-0.1027,0,6,2,662,had to pay for another flight,26
"""the service pleasant enough""",Boeing 747,Business,Business Class,London to Phoenix,2018-05-01,4.0,3.0,4.0,1.0,4.0,4,3.3333333333333335,0.5106,Positive,0.5106,2,4,6,135,the service pleasant enough,117
"""full price to rebook""",A320,Solo Leisure,Economy Class,Glasgow to Heathrow,2018-05-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,2,662,full price to rebook,26
"""cabin crew friendly""",A319 / Boeing 777,Solo Leisure,Economy Class,Brussels to Shanghai via London,2018-04-01,5.0,5.0,5.0,4.0,2.0,5,4.333333333333333,0.4939,Positive,0.4939,2,3,1,5,cabin crew friendly,16
"""I was pleasantly surprised""",A380,Solo Leisure,Economy Class,Chicago to London Heathrow,2018-05-01,4.0,4.0,3.0,3.0,4.0,3,3.5,0.6124,Positive,0.6124,2,4,7,302,i was pleasantly surprised,81
"""once again disappointed""",A320 / Boeing 787,Couple Leisure,Economy Class,Athens to Philadelphia via London,2018-04-01,4.0,4.0,2.0,4.0,4.0,3,3.5,-0.4767,Negative,-0.4767,0,3,1,5,once again disappointed,33
"""Club World cabin very cramped""",Boeing 777,Couple Leisure,Business Class,Hong Kong to London,2018-04-01,2.0,5.0,3.0,3.0,4.0,4,3.5,0.0,Neutral,0.0,1,5,11,452,club world cabin very cramped,145
"""experience was totally acceptable""",A380,Solo Leisure,Business Class,Los Angeles to London Heathrow,2018-04-01,4.0,5.0,4.0,5.0,5.0,5,4.666666666666667,0.3804,Positive,0.3804,2,4,8,302,experience was totally acceptable,81
"""Terminal 5 was a big mass""",A319 / Boeing 787-8,Solo Leisure,Premium Economy,Hamburg to Abu Dhabi via London,2018-05-01,3.0,2.0,2.0,4.0,1.0,2,2.3333333333333335,0.0,Neutral,0.0,1,6,1,1,terminal  was a big mass,18
"""An average experience""",Boeing 787-8,Family Leisure,Business Class,GIG to LHR,2018-04-01,4.0,3.0,3.0,4.0,4.0,3,3.5,0.0,Neutral,0.0,1,3,5,16,an average experience,178
"""no accessory pack of eye shades""",Boeing 747,Solo Leisure,Premium Economy,London Heathrow to Vancouver,2018-04-01,1.0,1.0,1.0,2.0,4.0,2,1.8333333333333333,0.0,Neutral,0.0,1,6,4,135,no accessory pack of eye shades,117
"""crew were excellent""",Boeing 767,Business,Business Class,Madrid to London,2018-04-01,4.0,5.0,4.0,2.6,4.0,3,3.766666666666667,0.5719,Positive,0.5719,2,3,9,68,crew were excellent,140
"""bags cannot be fastened together""",A319,Solo Leisure,Economy Class,Venice to Gatwick,2018-02-01,3.0,3.0,2.7091954022988505,2.636533432947329,1.0,1,2.2242881392076965,0.0,Neutral,0.0,1,5,4,196,bags cannot be fastened together,10
"""It was all handled very poorly""",A380,Business,Business Class,Singapore to Dublin via London,2018-03-01,2.0,5.0,4.0,3.0,2.0,2,3.0,0.0,Neutral,0.0,1,6,1,302,it was all handled very poorly,81
"""no real added value""",A320,Couple Leisure,Economy Class,London to Budapest,2018-04-01,3.0,3.0,1.0,1.0,2.0,1,1.8333333333333333,0.34,Positive,0.34,2,4,3,662,no real added value,26
"""bumped off flight""",Embraer,Business,Economy Class,Florence to London Gatwick,2018-04-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,0.0,Neutral,0.0,1,3,1,18,bumped off flight,200
"""a solid performance""",Boeing 777-300,Family Leisure,Business Class,London to Sao Paulo,2018-04-01,4.0,4.0,4.0,5.0,5.0,4,4.333333333333333,0.1531,Positive,0.1531,2,3,2,54,a solid performance,167
"""Worst BA flight ever!""",Boeing 777,Couple Leisure,Business Class,Tampa to London Gatwick,2018-04-01,1.0,1.0,1.0,1.0,1.0,1,1.0,-0.6588,Negative,-0.6588,0,4,1,452,worst ba flight ever,145
"""one expects a degree of comfort""",A319,Business,Business Class,London Heathrow to Dusseldorf,2018-02-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,0.3612,Positive,0.3612,2,6,1,196,one expects a degree of comfort,10
"""crew professional and friendly""",A320,Business,Business Class,Madrid to London,2018-04-01,2.0,5.0,1.0,1.4,1.0,1,1.9000000000000001,0.4939,Positive,0.4939,2,4,9,662,crew professional and friendly,26
"""this change is not acceptable""",A321,Business,Business Class,London to Moscow,2018-03-01,1.0,4.0,1.0,1.4,1.0,2,1.7333333333333334,-0.2411,Negative,-0.2411,0,5,2,126,this change is not acceptable,59
"""recent BA experience was positive""",Boeing 747-400,Solo Leisure,Economy Class,Miami to London,2018-03-01,4.0,4.0,4.0,4.0,4.0,4,4.0,0.5574,Positive,0.5574,2,5,7,275,recent ba experience was positive,129
"""cheaper than competitors""",Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Barbados,2017-12-01,2.0,2.0,1.0,2.0,3.0,2,2.0,0.0,Neutral,0.0,1,3,6,171,cheaper than competitors,157
"""among the most greedy airlines""",Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Dallas,2018-04-01,3.0,3.0,3.0,2.0,3.0,2,2.6666666666666665,-0.3804,Negative,-0.3804,0,5,1,275,among the most greedy airlines,129
"""the seat pitch is ridiculous""",A320,Business,Business Class,London to Copenhagen,2018-04-01,2.0,3.0,1.0,1.4,3.0,2,2.066666666666667,-0.3612,Negative,-0.3612,0,5,3,662,the seat pitch is ridiculous,26
"""it’s become a last resort""",A320,Business,Economy Class,Istanbul to London,2018-04-01,3.0,3.0,1.0,1.0,2.0,1,1.8333333333333333,0.0,Neutral,0.0,1,5,10,662,its become a last resort,26
"""Unprofessional staff, uncomfortable seats""",A380,Family Leisure,Premium Economy,Los Angeles to London,2018-04-01,1.0,1.0,2.0,3.0,1.0,1,1.5,-0.7096,Negative,-0.7096,0,4,12,302,unprofessional staff uncomfortable seats,81
"""started with a 2.5 hours delay""",A321,Business,Economy Class,Belfast to London,2018-04-01,2.0,1.0,1.0,1.0,1.0,1,1.1666666666666667,-0.3182,Negative,-0.3182,0,6,7,126,started with a  hours delay,59
"""Boarding was chaotic""",Boeing 787,Solo Leisure,Economy Class,Naples to Gatwick,2018-04-01,3.0,2.0,2.0,2.0,2.0,1,2.0,-0.4939,Negative,-0.4939,0,3,2,97,boarding was chaotic,172
"""Not value for money""",Boeing 777-300,Family Leisure,Premium Economy,São Paulo to London Heathrow,2018-04-01,2.0,1.0,2.0,3.0,2.0,2,2.0,-0.2584,Negative,-0.2584,0,4,1,54,not value for money,167
"""nothing special, such a disappointment""",Boeing 777,Couple Leisure,Premium Economy,Dallas to Lagos via London Heathrow,2018-02-01,2.0,2.0,2.0,2.0,1.0,1,1.6666666666666667,-0.6765,Negative,-0.6765,0,5,1,452,nothing special such a disappointment,145
"""the worst flight I have ever had""",A320,Couple Leisure,Economy Class,Budapest to London Heathrow,2018-03-01,1.0,1.0,2.7091954022988505,2.636533432947329,3.0,2,2.05762147254103,-0.6249,Negative,-0.6249,0,7,2,662,the worst flight i have ever had,26
"""service was outstanding""",Boeing 777,Family Leisure,Economy Class,London Heathrow to New York JFK,2018-04-01,1.0,5.0,2.0,2.0,1.0,3,2.3333333333333335,0.6124,Positive,0.6124,2,3,7,452,service was outstanding,145
"""My bag was damaged""",A320,Solo Leisure,Economy Class,London to Vienna,2017-12-01,3.0,4.0,2.7091954022988505,2.636533432947329,1.0,1,2.390954805874363,-0.4404,Negative,-0.4404,0,4,6,662,my bag was damaged,26
"""Efficient staff""",Boeing 787-9,Family Leisure,Premium Economy,London Heathrow to Cairo,2018-04-01,4.0,5.0,5.0,5.0,5.0,5,4.833333333333333,0.4215,Positive,0.4215,2,2,3,54,efficient staff,184
"""complete waste of money""",Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,2018-03-01,2.0,2.0,2.0,3.0,3.0,1,2.1666666666666665,-0.4215,Negative,-0.4215,0,4,5,452,complete waste of money,145
"""well below BA's competitors""",Boeing 777-200,Couple Leisure,Business Class,Fort Lauderdale to Gatwick,2018-03-01,2.0,3.0,3.0,2.0,3.0,3,2.6666666666666665,0.2732,Positive,0.2732,2,4,1,171,well below bas competitors,157
"""additional payment to select seats""",Boeing 747,Family Leisure,Business Class,Dubai to London Heathrow,2018-03-01,4.0,5.0,4.0,3.0,4.0,4,4.0,0.0,Neutral,0.0,1,5,6,135,additional payment to select seats,117
"""outdated, unclean and uncomfortable""",Boeing 747-400,Couple Leisure,Economy Class,London to Las Vegas,2018-03-01,2.0,4.0,1.0,2.0,2.0,3,2.3333333333333335,-0.3818,Negative,-0.3818,0,4,4,275,outdated unclean and uncomfortable,129
"""the utmost courtesy and assistance""",Boeing 777,Solo Leisure,Economy Class,Tampa to Gatwick,2018-03-01,4.0,5.0,5.0,5.0,5.0,5,4.833333333333333,0.3612,Positive,0.3612,2,5,5,452,the utmost courtesy and assistance,145
"""pleasantly surprised to be upgraded""",A320,Business,Economy Class,Heathrow to Keflavik,2018-03-01,3.0,4.0,4.0,2.6,5.0,4,3.766666666666667,0.6124,Positive,0.6124,2,5,1,662,pleasantly surprised to be upgraded,26
"""crew very friendly and professional""",Boeing 787-9,Solo Leisure,First Class,London to Muscat,2018-03-01,5.0,4.0,4.0,3.0,4.0,4,4.0,0.5413,Positive,0.5413,2,5,1,54,crew very friendly and professional,184
"""entertainment was not working""",Boeing 747-400,Family Leisure,Economy Class,Cape Town to London,2018-03-01,2.0,2.0,2.0,1.0,2.0,1,1.6666666666666667,0.4215,Positive,0.4215,2,4,14,275,entertainment was not working,129
"""staff try so very hard to please""",A320,Family Leisure,Business Class,Gatwick to Madeira,2018-03-01,2.0,4.0,3.0,3.4,2.0,1,2.566666666666667,0.1512,Positive,0.1512,2,7,1,662,staff try so very hard to please,26
"""extremely unprofessional""",Boeing 777,Solo Leisure,Economy Class,London to Casablanca,2018-03-01,3.0,3.0,2.7091954022988505,2.636533432947329,1.0,1,2.2242881392076965,-0.5563,Negative,-0.5563,0,2,1,452,extremely unprofessional,145
"""manager is very professional""",A380 / A319,Solo Leisure,Economy Class,Berlin to Hong Kong via London,2018-02-01,3.0,5.0,2.7091954022988505,2.636533432947329,4.0,4,3.5576214725410296,0.0,Neutral,0.0,1,4,1,2,manager is very professional,82
"""regret choosing BA""",A380,Solo Leisure,Economy Class,Hyderabad to Brussels via London,2018-03-01,3.0,3.0,2.0,2.0,3.0,1,2.3333333333333335,-0.4215,Negative,-0.4215,0,3,1,302,regret choosing ba,81
"""an entirely reasonable flight""",Boeing 777-200,Couple Leisure,Business Class,London Gatwick to Fort Lauderdale,2018-03-01,3.0,4.0,4.0,3.0,4.0,4,3.6666666666666665,0.0,Neutral,0.0,1,4,1,171,an entirely reasonable flight,157
"""cleanliness hit rock bottom""",Boeing 747,Business,Business Class,Milan to London Heathrow,2018-03-01,3.0,1.0,2.7091954022988505,2.636533432947329,4.0,1,2.390954805874363,0.0,Neutral,0.0,1,4,1,135,cleanliness hit rock bottom,117
"""one of the most pleasurable flights""",A320,Family Leisure,Business Class,London to Helsinki,2018-03-01,5.0,5.0,5.0,3.4,5.0,5,4.733333333333333,0.5709,Positive,0.5709,2,6,1,662,one of the most pleasurable flights,26
"""gratitude and appreciation""",A321,Solo Leisure,Economy Class,London Heathrow to Denver,2018-03-01,5.0,5.0,5.0,5.0,5.0,5,5.0,0.765,Positive,0.765,2,3,1,126,gratitude and appreciation,59
"""I had to ask where is my food""",A320,Solo Leisure,Economy Class,Heathrow to Kuala Lumpur,2018-03-01,3.0,3.0,1.0,2.0,4.0,1,2.3333333333333335,0.0,Neutral,0.0,1,8,1,662,i had to ask where is my food,26
"""you are facing a stranger""",Boeing 777-200,Business,Business Class,Bangkok to London,2018-03-01,1.0,2.0,1.0,1.4,4.0,1,1.7333333333333334,0.0,Neutral,0.0,1,5,7,171,you are facing a stranger,157
"""service was really good""",Boeing 777-300,Couple Leisure,Business Class,Beijing to London,2018-03-01,3.0,4.0,4.0,4.0,3.0,4,3.6666666666666665,0.4927,Positive,0.4927,2,4,2,54,service was really good,167
"""not much structure to service""",Boeing 787,Couple Leisure,Business Class,London to Beijing,2018-03-01,3.0,2.0,3.0,4.0,3.0,3,3.0,0.0,Neutral,0.0,1,5,2,97,not much structure to service,172
"""served the worst food""",Boeing 777,Couple Leisure,Economy Class,Bangkok to London,2018-03-01,1.0,2.0,1.0,2.0,1.0,2,1.5,-0.6249,Negative,-0.6249,0,4,7,452,served the worst food,145
"""cabin staff were almost robotic""",Boeing 777,Solo Leisure,Economy Class,Moscow to Heathrow,2018-02-01,2.0,1.0,1.0,3.0,1.0,3,1.8333333333333333,0.0,Neutral,0.0,1,5,2,452,cabin staff were almost robotic,145
"""no one to escort you to the seat""",Boeing 787-9,Business,First Class,London Heathrow to Delhi Airport,2017-10-01,4.0,1.0,1.0,1.0,2.0,1,1.6666666666666667,0.0,Neutral,0.0,1,8,1,54,no one to escort you to the seat,184
"""service is very attentive and polite""",A319 / Boeing 777,Solo Leisure,Economy Class,Belfast to Lisbon via London,2018-03-01,3.0,4.0,1.0,1.4,4.0,2,2.566666666666667,0.0,Neutral,0.0,1,6,1,5,service is very attentive and polite,16
"""turned into a low cost airline""",A321,Solo Leisure,Economy Class,London to Belfast,2018-03-01,5.0,5.0,2.7091954022988505,2.636533432947329,4.0,3,3.724288139207696,-0.2732,Negative,-0.2732,0,6,6,126,turned into a low cost airline,59
"""Worn seats, cracks in the walls""",Boeing 747-400,Business,Economy Class,Miami to London,2018-03-01,2.0,3.0,3.0,1.0,3.0,2,2.3333333333333335,-0.296,Negative,-0.296,0,6,7,275,worn seats cracks in the walls,129
"""service attentive and prompt""",A320,Business,Business Class,Warsaw to London,2018-03-01,1.0,4.0,5.0,3.4,4.0,4,3.5666666666666664,0.0,Neutral,0.0,1,4,3,662,service attentive and prompt,26
"""they do not offer anything free""",A320,Solo Leisure,Economy Class,Stockholm to London,2018-03-01,3.0,3.0,2.7091954022988505,2.636533432947329,3.0,2,2.724288139207696,-0.4023,Negative,-0.4023,0,6,4,662,they do not offer anything free,26
"""crew were very pleasant""",A320,Business,Economy Class,Lisbon to London Heathrow,2018-03-01,4.0,2.0,2.0,2.0,5.0,2,2.8333333333333335,0.5563,Positive,0.5563,2,4,3,662,crew were very pleasant,26
"""don't have spare water""",A380,Business,Premium Economy,Singapore to Heathrow,2018-03-01,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,Neutral,0.0,1,4,1,302,dont have spare water,81
"""seat was claustrophobic""",Boeing 777,Business,Business Class,Chicago to Chennai via London,2018-02-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,0.0,Neutral,0.0,1,3,1,452,seat was claustrophobic,145
"""it did not disappoint me""",Boeing 787,Solo Leisure,Economy Class,London Heathrow to Toronto,2018-02-01,3.0,4.0,3.0,2.0,4.0,4,3.3333333333333335,0.3089,Positive,0.3089,2,5,3,97,it did not disappoint me,172
"""my worst experience in business class""",A380,Business,Business Class,London to Hong Kong,2018-02-01,3.0,1.0,1.0,3.0,3.0,1,2.0,-0.6249,Negative,-0.6249,0,6,15,302,my worst experience in business class,81
"""you would expect a better meal""",A380,Solo Leisure,Premium Economy,Miami to London Heathrow,2018-02-01,5.0,5.0,3.0,5.0,5.0,5,4.666666666666667,0.4404,Positive,0.4404,2,6,7,302,you would expect a better meal,81
"""I will never fly BA again""",Boeing 747,Couple Leisure,First Class,London to Phoenix,2017-07-01,1.0,5.0,1.0,1.0,1.0,1,1.6666666666666667,0.0,Neutral,0.0,1,6,6,135,i will never fly ba again,117
"""a miserable experience""",A320,Couple Leisure,Business Class,London to Istanbul,2018-02-01,1.0,2.0,2.0,2.0,2.0,2,1.8333333333333333,-0.4939,Negative,-0.4939,0,3,10,662,a miserable experience,26
"""I end up with mix feelings""",A319,Couple Leisure,Economy Class,Edimbourgh to London Gatwick,2018-02-01,1.0,3.0,2.7091954022988505,2.636533432947329,3.0,5,2.890954805874363,0.0,Neutral,0.0,1,6,1,196,i end up with mix feelings,10
"""at least a decade out of date""",Boeing 747-400,Business,Business Class,Chicago to London Heathrow,2018-02-01,1.0,1.0,1.0,1.0,3.0,1,1.3333333333333333,0.0,Neutral,0.0,1,7,7,275,at least a decade out of date,129
"""has adopted the low cost airline mentality""",Boeing 757,Solo Leisure,Economy Class,Athens to London,2018-02-01,3.0,4.0,2.0,2.0,4.0,5,3.3333333333333335,-0.2732,Negative,-0.2732,0,7,10,2,has adopted the low cost airline mentality,139
"""meals were served very slowly""",Boeing 747,Couple Leisure,Premium Economy,London Heathrow to Miami,2018-02-01,2.0,3.0,2.0,2.0,3.0,2,2.3333333333333335,0.0,Neutral,0.0,1,5,7,135,meals were served very slowly,117
"""Boarding was disappointing""",Boeing 777,Solo Leisure,Economy Class,London to Bombay,2017-12-01,4.0,5.0,4.0,4.0,3.0,5,4.166666666666667,-0.4939,Negative,-0.4939,0,3,1,452,boarding was disappointing,145
"""so much for a full-service airline""",A319/320,Couple Leisure,Business Class,Manchester to Gothenburg via London Heathrow,2018-02-01,2.0,3.0,2.0,1.0,3.0,2,2.1666666666666665,0.0,Neutral,0.0,1,6,1,1,so much for a fullservice airline,23
"""Bad service""",A319,Business,Economy Class,London Heathrow to Prague,2018-02-01,3.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.8909548058743633,-0.5423,Negative,-0.5423,0,2,1,196,bad service,10
"""journey was very irritating""",A320-200,Solo Leisure,Economy Class,New Orleans to Hyderabad via London,2018-02-01,1.0,1.0,1.0,1.0,2.0,2,1.3333333333333333,-0.5095,Negative,-0.5095,0,4,1,14,journey was very irritating,45
"""Extremely dated aircraft""",A320,Business,Business Class,London to Athens,2018-01-01,1.0,4.0,2.0,1.0,2.0,1,1.8333333333333333,0.0,Neutral,0.0,1,3,11,662,extremely dated aircraft,26
"""food has noticeably improved""",Boeing 777,Couple Leisure,Economy Class,London Gatwick to Cape Town,2018-02-01,4.0,3.0,4.0,3.0,4.0,3,3.5,0.4767,Positive,0.4767,2,4,2,452,food has noticeably improved,145
"""really poor food""",Boeing 747-400,Couple Leisure,Economy Class,Las Vegas to London Heathrow,2018-02-01,2.0,1.0,1.0,3.0,1.0,2,1.6666666666666667,-0.5256,Negative,-0.5256,0,3,4,275,really poor food,129
"""crew very attentive""",A321,Solo Leisure,Business Class,Aberdeen to London Heathrow,2018-02-01,5.0,5.0,5.0,3.4,4.0,5,4.566666666666666,0.0,Neutral,0.0,1,3,2,126,crew very attentive,59
"""Very satisfied with BA""",A320,Solo Leisure,Business Class,Dusseldorf to London,2018-02-01,3.0,5.0,5.0,3.4,4.0,4,4.066666666666666,0.4754,Positive,0.4754,2,4,1,662,very satisfied with ba,26
"""utterly appalling food""",Boeing 777,Solo Leisure,Economy Class,Orlando to Gatwick,2018-02-01,3.0,5.0,1.0,3.0,4.0,3,3.1666666666666665,-0.4201,Negative,-0.4201,0,3,5,452,utterly appalling food,145
"""I was very pleasantly surprised""",A380,Solo Leisure,Economy Class,London to Johannesburg,2018-01-01,5.0,5.0,3.0,5.0,5.0,4,4.5,0.6779,Positive,0.6779,2,5,21,302,i was very pleasantly surprised,81
"""cabin staff polite and friendly""",Boeing 777-200,Business,Business Class,Chicago to Hyderabad via London Heathrow,2018-02-01,3.0,4.0,3.0,3.4,3.0,4,3.4,0.4939,Positive,0.4939,2,5,1,171,cabin staff polite and friendly,157
"""first and last journey""",Boeing 777,Solo Leisure,Premium Economy,San Francisco to Hyderabad via London,2017-12-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,0.0,Neutral,0.0,1,4,1,452,first and last journey,145
"""nothing good about BA anymore""",A319,Business,Economy Class,London to Duesseldorf,2018-01-01,1.0,1.0,2.7091954022988505,2.636533432947329,1.0,1,1.5576214725410298,-0.3412,Negative,-0.3412,0,5,1,196,nothing good about ba anymore,10
"""I was downgraded""",Boeing 767,Couple Leisure,Business Class,Rio de Janiero to London,2018-01-01,2.0,2.0,2.0,2.0,2.0,1,1.8333333333333333,0.0,Neutral,0.0,1,3,1,68,i was downgraded,140
"""A very unpleasant experience""",Boeing 777,Solo Leisure,Premium Economy,London to Bengaluru,2018-02-01,2.0,1.0,1.0,1.0,2.0,1,1.3333333333333333,-0.5256,Negative,-0.5256,0,4,2,452,a very unpleasant experience,145
"""BA did a good job""",Boeing 777-300ER,Couple Leisure,Economy Class,Houston to Dublin via London Heathrow,2018-01-01,3.0,4.0,4.0,5.0,4.0,5,4.166666666666667,0.4404,Positive,0.4404,2,5,1,18,ba did a good job,169
"""have to pay for food and beverages""",Boeing 777,Couple Leisure,Economy Class,Reykjavik to London,2018-02-01,4.0,4.0,1.0,4.0,1.0,2,2.6666666666666665,-0.1027,Negative,-0.1027,0,7,1,452,have to pay for food and beverages,145
"""given no notifications or help""",777-200,Couple Leisure,Economy Class,Bangkok to Lisbon via Heathrow,2017-12-01,2.859667633869692,3.2404661016949152,2.7091954022988505,2.636533432947329,2.755620723362659,1,2.533580549028908,-0.5358,Negative,-0.5358,0,5,1,2,given no notifications or help,2
"""a flight with no problems""",Boeing 737-800,Solo Leisure,Economy Class,Johannesburg to Cape Town,2018-01-01,3.0,3.0,3.0,3.4,3.0,4,3.233333333333333,0.3089,Positive,0.3089,2,5,3,6,a flight with no problems,115
"""no complimentary food or beverages""",A320,Solo Leisure,Economy Class,London Heathrow to Paris Orly,2017-10-01,3.0,4.0,2.7091954022988505,2.636533432947329,2.0,2,2.724288139207696,0.4404,Positive,0.4404,2,5,2,662,no complimentary food or beverages,26
"""good flight and service""",A320,Solo Leisure,Business Class,London Heathrow to Belfast,2018-01-01,5.0,4.0,4.0,2.6,4.0,4,3.9333333333333336,0.4404,Positive,0.4404,2,4,2,662,good flight and service,26
"""missed our connection in London""",Boeing 747-400,Couple Leisure,Economy Class,New York to Paris,2017-12-01,1.0,3.2404661016949152,2.7091954022988505,2.636533432947329,1.0,1,1.9310324894901825,-0.296,Negative,-0.296,0,5,1,275,missed our connection in london,129
"""Service was inattentive at best""",A380,Business,Business Class,Singapore to Madrid via London Heathrow,2018-01-01,1.0,2.0,2.0,2.0,1.0,1,1.5,0.6369,Positive,0.6369,2,5,1,302,service was inattentive at best,81
"""if we want anything, get it yourself""",Boeing 777,Solo Leisure,Business Class,Gatwick to Tobago,2018-01-01,3.0,3.0,3.0,2.0,2.0,3,2.6666666666666665,0.0772,Positive,0.0772,2,7,1,452,if we want anything get it yourself,145
"""British Airways is cutting corners""",A319,Business,Business Class,London Gatwick to Turin,2018-01-01,1.0,1.0,2.0,2.0,3.0,1,1.6666666666666667,-0.128,Negative,-0.128,0,5,1,196,british airways is cutting corners,10
"""policy is arbitrary and unfair""",A319,Solo Leisure,Economy Class,Warsaw to London Heathrow,2018-01-01,1.0,1.0,3.0,1.0,1.0,1,1.3333333333333333,-0.4767,Negative,-0.4767,0,5,1,196,policy is arbitrary and unfair,10
"""Six hours before it was cancelled""",A350-1000,Solo Leisure,Economy Class,London Heathrow to Vancouver,2018-01-01,3.0,4.0,3.0,3.4,3.0,3,3.233333333333333,-0.25,Negative,-0.25,0,6,4,10,six hours before it was cancelled,80
"""asked to pay extra to book specific seats""",A320,Couple Leisure,Business Class,London Heathrow to Madrid,2018-01-01,2.0,4.0,4.0,2.6,2.0,3,2.9333333333333336,-0.1027,Negative,-0.1027,0,8,4,662,asked to pay extra to book specific seats,26
"""My suitcase didn't arrive""",A320,Solo Leisure,Economy Class,London to Dusseldorf,2017-12-01,2.0,4.0,1.0,1.0,1.0,1,1.6666666666666667,0.0,Neutral,0.0,1,4,2,662,my suitcase didnt arrive,26
"""staff attitude so nonchalant""",A380,Solo Leisure,Business Class,Johannesburg to London,2017-12-01,1.0,1.0,1.0,2.0,2.0,1,1.3333333333333333,0.0,Neutral,0.0,1,4,17,302,staff attitude so nonchalant,81
"""pulling in the right direction""",Boeing 777-200,Couple Leisure,Business Class,London to Bangkok,2018-01-01,5.0,5.0,5.0,2.0,5.0,5,4.5,0.0,Neutral,0.0,1,5,6,171,pulling in the right direction,157
"""British Airways is always a good choice""",A320,Solo Leisure,Business Class,London Gatwick to Rome Fiumicino,2017-12-01,5.0,5.0,5.0,5.0,5.0,5,5.0,0.4404,Positive,0.4404,2,7,2,662,british airways is always a good choice,26
"""impressed with level of service""",Boeing 787-9,Solo Leisure,Business Class,"San Jose, CA to London Heathrow",2018-01-01,4.0,5.0,5.0,4.0,3.0,4,4.166666666666667,0.4767,Positive,0.4767,2,5,1,54,impressed with level of service,184
"""an awful experience""",Boeing 777,Business,Business Class,Dubai to London,2017-12-01,1.0,1.0,1.0,1.4,1.0,1,1.0666666666666667,-0.4588,Negative,-0.4588,0,3,5,452,an awful experience,145
"""full-service airline or low cost""",E170 / A319,Business,Economy Class,London to Düsseldorf,2018-01-01,3.0,5.0,1.0,1.4,4.0,2,2.733333333333333,-0.2732,Negative,-0.2732,0,5,1,1,fullservice airline or low cost,197
"""such a poor service""",Boeing 747-400,Family Leisure,Economy Class,New York to London,2017-11-01,1.0,1.0,2.0,1.0,2.0,1,1.3333333333333333,-0.4767,Negative,-0.4767,0,4,8,275,such a poor service,129
"""should get behind out national carrier""",Boeing 777,Solo Leisure,Economy Class,Bangkok to Aberdeen via Heathrow,2018-01-01,3.0,4.0,4.0,2.0,4.0,4,3.5,0.0,Neutral,0.0,1,6,1,452,should get behind out national carrier,145
"""there's room for improvement""",E190,Couple Leisure,Economy Class,Rotterdam to London City,2018-01-01,5.0,5.0,3.0,3.4,4.0,5,4.233333333333333,0.4588,Positive,0.4588,2,4,3,4,theres room for improvement,198
